85;85;85;85;85;85;85;85;85,85;76;68;59;50;41;33;24;15
85;87;89;91;93;94;96;98;100,15;19;24;28;33;37;41;46;50
50;54;59;63;68;72;76;81;85,100;98;96;94;93;91;89;87;85
50;54;59;63;68;72;76;81;85,100;89;79;68;58;47;36;26;15
100;94;88;81;75;69;63;56;50,50;56;63;69;75;81;88;94;100
100;98;96;94;93;91;89;87;85,50;54;59;63;68;72;76;81;85
100;96;93;89;85;81;78;74;70,50;56;63;69;75;81;88;94;100
90;91;93;94;95;96;98;99;100,100;99;98;96;95;94;93;91;90
100;94;88;81;75;69;63;56;50,70;74;78;81;85;89;93;96;100
100;99;98;96;95;94;93;91;90,70;74;78;81;85;89;93;96;100
70;74;78;81;85;89;93;96;100,100;96;93;89;85;81;78;74;70
50;56;63;69;75;81;88;94;100,100;99;98;96;95;94;93;91;90
50;56;63;69;75;81;88;94;100,100;94;88;81;75;69;63;56;50
100;96;93;89;85;81;78;74;70,90;91;93;94;95;96;98;99;100
90;91;93;94;95;96;98;99;100,100;94;88;81;75;69;63;56;50
